"Type","Year","DensityMass","DensityMassLow","DensityMassHigh","DensityNumbers","DensityNumbersLow","DensityNumbersHigh","DensityProb","DensityProbLow","DensityProbHigh"
"Natural","2016",0.135791856270579,0.0939864742704379,0.304010250051768,4.8191043787353,3.25587746650616,8.00073763435141,0.229867903797467,0.171877557997453,0.300775964396862
"Natural","2017",0.135791272898207,0.0953519898652997,0.327511126514604,3.9359232595712,2.63297553044707,6.68383361122,0.203307291076396,0.149619678156768,0.275817950830057
"Natural","2018",0.135787374450668,0.0941949449405339,0.304015375047954,2.81993204910626,1.92424219296211,4.72999707430773,0.163293134951409,0.119342433135864,0.227003164276235
"Natural","2019",0.1357883302325,0.0961160294576612,0.302514669160818,3.31611895636306,2.18076617327107,5.42138551052798,0.182122658583822,0.1317592264288,0.245425861348123
"Natural","2020",0.135787752885755,0.0939285309908655,0.303613170634766,3.82942166973753,2.62159404455689,6.28859560401973,0.199831884326006,0.149970185564162,0.267576852598918
"Natural","2021",0.135786361151787,0.0941591950579055,0.308580125659421,3.82074927059707,2.6567431397796,6.25371516459456,0.199546032490605,0.151548177337202,0.264501540753369
"Other","2015",0.108604681151573,0.0316827740081987,0.541327200482666,4.13416626125024,2.39058480772566,8.15032573084135,0.237771330327172,0.154250433854345,0.346244647381867
"Other","2016",0.329632752514528,0.111605147580042,1.57840313797294,5.42657381746252,3.45152329556566,10.5998203924493,0.284357693987423,0.203995493026804,0.384184809910646
"Other","2017",2.18361674375232,0.827252686233405,8.63782160078961,8.46163651405343,5.66943934949479,15.7447581565328,0.368825851083961,0.285146837116061,0.466682534515032
"Other","2018",2.41232932492738,0.91765871339344,9.61238206088353,7.48068370826201,4.9893296176506,13.3379244960511,0.344564508978844,0.261874428937293,0.434489157975213
"Other","2019",2.4004824047154,0.998432346061253,9.99861588609446,6.66437067259073,4.44579485141995,12.372119180503,0.322336600327362,0.241499601464411,0.418880110373377
"Other","2020",0.9919922102267,0.386957358304175,4.2372879061852,5.72003979376701,3.86519306125612,10.5203630197153,0.293884218256313,0.218608367634253,0.38445094601796
"Other","2021",1.13815432356722,0.461607617461314,4.84974841764708,5.10239394521952,3.42473713097285,9.27118389366231,0.27341398600298,0.20220177599062,0.370888452023914
"Plastic","2015",1.33106771616152,0.878324980310967,2.43036172164965,122.289705166903,103.577625573296,151.305955808179,0.965371479955962,0.951405812230957,0.97352300901969
"Plastic","2016",1.97044431949369,1.37413238155121,3.45898826731646,129.456103600205,111.824528832551,156.134421620555,0.968233020326565,0.955100030613372,0.975389263407016
"Plastic","2017",3.38712163166046,2.34503413667608,6.12570135329612,139.963394835018,121.492666009659,166.86016627604,0.971808744799248,0.960503432546007,0.977609965431706
"Plastic","2018",3.61222354572967,2.49617759864599,6.1794630871532,131.237159687957,114.818419142661,157.320318366914,0.968887210237429,0.95760969196817,0.975568507730195
"Plastic","2019",4.79312960167581,3.43940650326181,8.16275220115882,130.098006196136,112.362154293175,155.149282390226,0.96847124099275,0.956367869380811,0.974870032861965
"Plastic","2020",2.49033960202301,1.7309409041,4.15712850056015,140.475576513792,121.528586960479,167.603943119649,0.971966819643771,0.960732957432595,0.977851542784623
"Plastic","2021",2.43865628812113,1.72066091441124,4.0317907772023,144.946258478025,125.502428352277,172.982736310517,0.973289950228718,0.962752211264413,0.978733324550469
"Rubber","2015",0.301407941651838,0.132244529768782,0.979926612985739,6.0847159834441,4.52335442902323,9.60013372168704,0.344838110698402,0.270365610314082,0.449286130358689
"Rubber","2016",0.423915387115919,0.215704028364679,1.27860136365772,6.08481080304913,4.2848393459405,9.87657585464135,0.344841661735941,0.259042266197019,0.452604379716854
"Rubber","2017",0.908259002002771,0.490135679211142,2.52740381212256,6.08497957307512,4.38879117247936,9.60760440437616,0.344847982159778,0.263636894485742,0.448440014456052
"Rubber","2018",1.66212098926761,0.932713538635202,4.71658695982378,6.08506211687279,4.42189101985779,10.13442733476,0.344851073376008,0.265735724462026,0.457998521719888
"Rubber","2019",1.79513446402765,1.03069367505443,5.18868472210364,6.08535836994502,4.44783653423338,9.1439211188696,0.344862167648781,0.267706428680495,0.436288459700856
"Rubber","2020",0.749613563034508,0.418427280651494,2.06503922044274,6.08576947460381,4.43782364251601,9.83162866846826,0.344877562363297,0.265704566730339,0.449291279929541
"Rubber","2021",0.759894453873003,0.411769485121859,2.14404215178395,6.08605236846442,4.47830910685277,9.63682714856111,0.344888155543116,0.267645896755826,0.450368197607073
"SUP","2015",0.691619817084856,0.430284535781852,1.36494878946834,45.8159893132103,37.1538018481431,59.486253408834,0.815755136534455,0.752055678254434,0.860486918345849
"SUP","2016",0.867130297380501,0.573839762362993,1.64305967313225,50.7698359674201,43.0127362111685,65.4023648469714,0.832647834680663,0.779495216303088,0.872162469437058
"SUP","2017",1.22170815016311,0.816821273009708,2.37379750889383,58.1665283128886,49.3965056603614,73.5243950471152,0.853266414961261,0.800081185817852,0.888303721752187
