V1,V2,V3
-9.38579685163122,58.3492682926829,-504.609985351562
-9.33517959897589,58.3492682926829,-478.392486572266
-9.28456234632056,58.3492682926829,-435.572509765625
-9.23394509366524,58.3492682926829,-415.732513427734
-9.18332784100991,58.3492682926829,-382.262512207031
-9.13271058835458,58.3492682926829,-371.042510986328
-9.08209333569926,58.3492682926829,-345.057556152344
-9.03147608304393,58.3492682926829,-334.597534179688
-8.9808588303886,58.3492682926829,-314.687530517578
-8.93024157773328,58.3492682926829,-305.527557373047
-8.87962432507795,58.3492682926829,-287.587554931641
-8.82900707242262,58.3492682926829,-277.027557373047
-8.77838981976729,58.3492682926829,-248.92253112793
-8.72777256711197,58.3492682926829,-232.152526855469
-8.67715531445664,58.3492682926829,-201.322525024414
-8.62653806180131,58.3492682926829,-189.682525634766
-8.57592080914599,58.3492682926829,-175.482528686523
-8.52530355649066,58.3492682926829,-169.917495727539
-8.47468630383533,58.3492682926829,-165.137496948242
-8.42406905118,58.3492682926829,-161.357498168945
-8.37345179852468,58.3492682926829,-155.36750793457
-8.32283454586935,58.3492682926829,-151.157501220703
-8.27221729321402,58.3492682926829,-146.892486572266
-8.2216000405587,58.3492682926829,-143.252487182617
-8.17098278790337,58.3492682926829,-137.152481079102
-8.12036553524804,58.3492682926829,-126.942481994629
-8.06974828259271,58.3492682926829,-125.652481079102
-8.01913102993739,58.3492682926829,-118.565002441406
-7.96851377728206,58.3492682926829,-113.275001525879
-7.91789652462673,58.3492682926829,-109.894996643066
-7.86727927197141,58.3492682926829,-105.714996337891
-7.81666201931608,58.3492682926829,-101.184997558594
-7.76604476666075,58.3492682926829,-99.1949996948242
-7.71542751400542,58.3492682926829,-89.8624954223633
-7.6648102613501,58.3492682926829,-71.7825012207031
-7.61419300869477,58.3492682926829,-52.0924987792969
-7.56357575603944,58.3492682926829,-47.5124969482422
-7.51295850338412,58.3492682926829,-64.8824996948242
-7.46234125072879,58.3492682926829,-80.6650009155273
-7.41172399807346,58.3492682926829,-82.6549987792969
-7.36110674541813,58.3492682926829,-84.995002746582
-7.31048949276281,58.3492682926829,-100.714996337891
-7.25987224010748,58.3492682926829,-105.154998779297
-7.20925498745215,58.3492682926829,-111.627922058105
-7.15863773479683,58.3492682926829,-116.19792175293
-7.1080204821415,58.3492682926829,-94.7779235839844
-7.05740322948617,58.3492682926829,-83.0779190063477
-7.00678597683084,58.3492682926829,-71.3879241943359
-6.95616872417552,58.3492682926829,-68.4679183959961
-6.90555147152019,58.3492682926829,-55.2960243225098
-6.85493421886486,58.3492682926829,-53.4660263061523
-6.80431696620954,58.3492682926829,-10.0460252761841
-6.75369971355421,58.3492682926829,7.67397451400757
